inter_station,station1,station2,station3
CE1/DT16,CE1,DT16,
NS17/CC15,NS17,CC15,
CC19/DT9,CC19,DT9,
EW12/DT14,EW12,DT14,
BP6/DT1,BP6,DT1,
EW21/CC22,EW21,CC22,
NE4/DT19,NE4,DT19,
NS4/BP1,NS4,BP1,
NS25/EW13,NS25,EW13,
NS24/NE6/CC1,NS24,NE6,CC1
CG1/DT35,CG1,DT35,
NE1/CC29,NE1,CC29,
NS1/EW24,NS1,EW24,
NE7/DT12,NE7,DT12,
CC10/DT26,CC10,DT26,
NS27/CE2,NS27,CE2,
NS21/DT11,NS21,DT11,
EW16/NE3,EW16,NE3,
EW8/CC9,EW8,CC9,
CC4/DT15,CC4,DT15,
NE17/PTC,NE17,PTC,
NS26/EW14,NS26,EW14,
NE16/STC,NE16,STC,
NE12/CC13,NE12,CC13,
EW2/DT32,EW2,DT32,
